# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	5530
#@/user_id	21c2c11f-05e4-41a3-a138-35b0c9d61648
a 	啊	c=5 d=1.46884 t=5530
gei wo 	给我	c=12 d=3.55138 t=5530
gen 	根	c=1 d=0.179066 t=5530
gen 	跟	c=1 d=0.752014 t=5530
gen ju 	根据	c=3 d=0.960789 t=5530
gen yuan 	根源	c=0 d=0.0744532 t=5530
gen yuan xian 	根源先	c=1 d=0.748264 t=5530
gen zhe 	跟着	c=1 d=0.965605 t=5530
geng gai 	更改	c=1 d=1.009 t=5530
geng gai guo 	更改过	c=1 d=0.909373 t=5530
geng hao 	更好	c=1 d=0.535261 t=5530
geng huan 	更换	c=1 d=0.722527 t=5530
geng jia 	更加	c=1 d=0.895834 t=5530
geng xin 	更新	c=2 d=1.55372 t=5530
gong an bu 	公安部	c=0 d=0.0771052 t=5530
gong an bu san ge yue 	公安部三个月	c=1 d=0.774916 t=5530
gong cheng 	工程	c=3 d=1.02393 t=5530
gong ju 	工具	c=8 d=4.70309 t=5530
gong neng 	功能	c=15 d=2.28211 t=5530
gong si 	公司	c=1 d=0.574072 t=5530
gong wang 	公网	c=2 d=0.782752 t=5530
gong wang he 	公网和	c=1 d=0.932394 t=5530
gong zuo qu 	工作区	c=1 d=0.557106 t=5530
gou jian 	构建	c=16 d=5.68949 t=5530
gou jian ba 	构建把	c=1 d=0.744532 t=5530
gou jian le 	构建了	c=1 d=0.447088 t=5530
gu ding 	固定	c=3 d=2.30942 t=5530
gu ji 	估计	c=5 d=3.09513 t=5530
gu jia 	骨架	c=1 d=0.680451 t=5530
guan bi 	关闭	c=1 d=0.947555 t=5530
guan bi diao 	关闭掉	c=1 d=0.621885 t=5530
guan bu diao 	关不掉	c=0 d=0.0980199 t=5530
guan bu diao le 	关不掉了	c=1 d=0.985112 t=5530
guan diao 	关掉	c=1 d=0.472367 t=5530
guan fang 	官方	c=13 d=2.51494 t=5530
guan jian 	关键	c=2 d=0.696802 t=5530
guan li 	管理	c=1 d=0.932394 t=5530
guan li qi 	管理器	c=3 d=2.48833 t=5530
guan wang 	官网	c=1 d=0.860708 t=5530
guan yu 	关于	c=1 d=0.154124 t=5530
guan zhu 	关注	c=1 d=0.873716 t=5530
guang biao 	光标	c=2 d=1.69791 t=5530
gui ding 	规定	c=1 d=0.501576 t=5530
gui fan 	规范	c=1 d=0.822835 t=5530
gui ze 	规则	c=1 d=0.774916 t=5530
gun dong 	滚动	c=1 d=0.806541 t=5530
guo 	过	c=2 d=1.02098 t=5530
guo bu qu 	过不去	c=1 d=0.621885 t=5530
guo cheng 	过程	c=1 d=0.818731 t=5530
guo cheng zhong 	过程中	c=1 d=0.683861 t=5530
